year,Terrain_Area_Share_Percent,Recorded_Slope_Failures,rainfall_mm,month_name,district,Season,Slope_Angle_Range_Degrees,Dominant_Failure_Mechanism,Soil type,Vegetation
2025,28.5,0,7.2,December,Namchi,Winter,15-25,Rotational slump,dry clay & red soil,Dry Tropical Semi-Evergreen and Moist Deciduous Forest
2025,30.2,0,7.2,December,Namchi,Winter,25-35,Planar slide / Wedge failure,dry clay & red soil,Dry Tropical Semi-Evergreen and Moist Deciduous Forest
2025,17.1,0,7.2,December,Namchi,Winter,35-45,Debris flow / Translational slide,dry clay & red soil,Dry Tropical Semi-Evergreen and Moist Deciduous Forest
2025,6.2,0,7.2,December,Namchi,Winter,>45,Rockfall / Topple,dry clay & red soil,Dry Tropical Semi-Evergreen and Moist Deciduous Forest
2025,18.0,0,32.4,February,Namchi,Winter,0-15,Soil creep / Surface wash,dry clay & red soil,Semi-dry Tropical Semi-Evergreen and Moist Deciduous Forest
2025,28.5,0,32.4,February,Namchi,Winter,15-25,Rotational slump,dry clay & red soil,Semi-dry Tropical Semi-Evergreen and Moist Deciduous Forest
2025,30.2,0,32.4,February,Namchi,Winter,25-35,Planar slide / Wedge failure,dry clay & red soil,Semi-dry Tropical Semi-Evergreen and Moist Deciduous Forest
2025,17.1,0,32.4,February,Namchi,Winter,35-45,Debris flow / Translational slide,dry clay & red soil,Semi-dry Tropical Semi-Evergreen and Moist Deciduous Forest
2025,6.2,0,32.4,February,Namchi,Winter,>45,Rockfall / Topple,dry clay & red soil,Semi-dry Tropical Semi-Evergreen and Moist Deciduous Forest
2025,18.0,0,13.0,January,Namchi,Winter,0-15,Soil creep / Surface wash,dry clay & red soil,Dry Tropical Semi-Evergreen and Moist Deciduous Forest
2025,28.5,0,13.0,January,Namchi,Winter,15-25,Rotational slump,dry clay & red soil,Dry Tropical Semi-Evergreen and Moist Deciduous Forest
2025,30.2,0,13.0,January,Namchi,Winter,25-35,Planar slide / Wedge failure,dry clay & red soil,Dry Tropical Semi-Evergreen and Moist Deciduous Forest
2025,17.1,0,13.0,January,Namchi,Winter,35-45,Debris flow / Translational slide,dry clay & red soil,Dry Tropical Semi-Evergreen and Moist Deciduous Forest
2025,6.2,0,13.0,January,Namchi,Winter,>45,Rockfall / Topple,dry clay & red soil,Dry Tropical Semi-Evergreen and Moist Deciduous Forest
2025,18.0,1,316.8,July,Namchi,Monsoon,0-15,Soil creep / Surface wash,dry clay & red soil,Steaming Tropical Semi-Evergreen and Moist Deciduous Forest
2025,28.5,3,316.8,July,Namchi,Monsoon,15-25,Rotational slump,dry clay & red soil,Steaming Tropical Semi-Evergreen and Moist Deciduous Forest
2025,30.2,5,316.8,July,Namchi,Monsoon,25-35,Planar slide / Wedge failure,dry clay & red soil,Steaming Tropical Semi-Evergreen and Moist Deciduous Forest
2025,17.1,9,316.8,July,Namchi,Monsoon,35-45,Debris flow / Translational slide,dry clay & red soil,Steaming Tropical Semi-Evergreen and Moist Deciduous Forest
2025,6.2,3,316.8,July,Namchi,Monsoon,>45,Rockfall / Topple,dry clay & red soil,Steaming Tropical Semi-Evergreen and Moist Deciduous Forest
2025,18.0,1,280.8,June,Namchi,Monsoon,0-15,Soil creep / Surface wash,dry clay & red soil,Highly humid Tropical Semi-Evergreen Forest
2025,28.5,2,280.8,June,Namchi,Monsoon,15-25,Rotational slump,dry clay & red soil,Highly humid Tropical Semi-Evergreen Forest
2025,30.2,5,280.8,June,Namchi,Monsoon,25-35,Planar slide / Wedge failure,dry clay & red soil,Highly humid Tropical Semi-Evergreen Forest
2025,17.1,8,280.8,June,Namchi,Monsoon,35-45,Debris flow / Translational slide,dry clay & red soil,Highly humid Tropical Semi-Evergreen Forest
2025,6.2,2,280.8,June,Namchi,Monsoon,>45,Rockfall / Topple,dry clay & red soil,Highly humid Tropical Semi-Evergreen Forest
2025,18.0,0,61.2,March,Namchi,Pre Mosoon,0-15,Soil creep / Surface wash,dry clay & red soil,Regenerating Tropical Semi-Evergreen and Moist Deciduous Forest
2025,28.5,0,61.2,March,Namchi,Pre Mosoon,15-25,Rotational slump,dry clay & red soil,Regenerating Tropical Semi-Evergreen and Moist Deciduous Forest
2025,30.2,1,61.2,March,Namchi,Pre Mosoon,25-35,Planar slide / Wedge failure,dry clay & red soil,Regenerating Tropical Semi-Evergreen and Moist Deciduous Forest
2025,17.1,1,61.2,March,Namchi,Pre Mosoon,35-45,Debris flow / Translational slide,dry clay & red soil,Regenerating Tropical Semi-Evergreen and Moist Deciduous Forest
2025,6.2,0,61.2,March,Namchi,Pre Mosoon,>45,Rockfall / Topple,dry clay & red soil,Regenerating Tropical Semi-Evergreen and Moist Deciduous Forest
2025,18.0,0,201.6,May,Namchi,Pre Mosoon,0-15,Soil creep / Surface wash,dry clay & red soil,Hot Tropical Semi-Evergreen and Moist Deciduous Forest
2025,28.5,1,201.6,May,Namchi,Pre Mosoon,15-25,Rotational slump,dry clay & red soil,Hot Tropical Semi-Evergreen and Moist Deciduous Forest
2025,30.2,2,201.6,May,Namchi,Pre Mosoon,25-35,Planar slide / Wedge failure,dry clay & red soil,Hot Tropical Semi-Evergreen and Moist Deciduous Forest
2025,17.1,3,201.6,May,Namchi,Pre Mosoon,35-45,Debris flow / Translational slide,dry clay & red soil,Hot Tropical Semi-Evergreen and Moist Deciduous Forest
2025,6.2,1,201.6,May,Namchi,Pre Mosoon,>45,Rockfall / Topple,dry clay & red soil,Hot Tropical Semi-Evergreen and Moist Deciduous Forest
2025,18.0,0,14.4,November,Namchi,Post Monsoon,0-15,Soil creep / Surface wash,dry clay & red soil,Semi-dry Tropical Semi-Evergreen and Moist Deciduous Forest
2025,28.5,0,14.4,November,Namchi,Post Monsoon,15-25,Rotational slump,dry clay & red soil,Semi-dry Tropical Semi-Evergreen and Moist Deciduous Forest
2025,30.2,0,14.4,November,Namchi,Post Monsoon,25-35,Planar slide / Wedge failure,dry clay & red soil,Semi-dry Tropical Semi-Evergreen and Moist Deciduous Forest
2025,17.1,0,14.4,November,Namchi,Post Monsoon,35-45,Debris flow / Translational slide,dry clay & red soil,Semi-dry Tropical Semi-Evergreen and Moist Deciduous Forest
2025,6.2,0,14.4,November,Namchi,Post Monsoon,>45,Rockfall / Topple,dry clay & red soil,Semi-dry Tropical Semi-Evergreen and Moist Deciduous Forest
2025,18.0,0,68.4,October,Namchi,Post Monsoon,0-15,Soil creep / Surface wash,dry clay & red soil,Drying Tropical Semi-Evergreen and Moist Deciduous Forest
2025,28.5,0,68.4,October,Namchi,Post Monsoon,15-25,Rotational slump,dry clay & red soil,Drying Tropical Semi-Evergreen and Moist Deciduous Forest
2025,30.2,0,68.4,October,Namchi,Post Monsoon,25-35,Planar slide / Wedge failure,dry clay & red soil,Drying Tropical Semi-Evergreen and Moist Deciduous Forest
2025,17.1,1,68.4,October,Namchi,Post Monsoon,35-45,Debris flow / Translational slide,dry clay & red soil,Drying Tropical Semi-Evergreen and Moist Deciduous Forest
2025,6.2,0,68.4,October,Namchi,Post Monsoon,>45,Rockfall / Topple,dry clay & red soil,Drying Tropical Semi-Evergreen and Moist Deciduous Forest
2025,18.0,0,208.8,September,Namchi,Monsoon,0-15,Soil creep / Surface wash,dry clay & red soil,Warm Tropical Semi-Evergreen and Moist Deciduous Forest
2025,28.5,1,208.8,September,Namchi,Monsoon,15-25,Rotational slump,dry clay & red soil,Warm Tropical Semi-Evergreen and Moist Deciduous Forest
2025,30.2,2,208.8,September,Namchi,Monsoon,25-35,Planar slide / Wedge failure,dry clay & red soil,Warm Tropical Semi-Evergreen and Moist Deciduous Forest
2025,17.1,4,208.8,September,Namchi,Monsoon,35-45,Debris flow / Translational slide,dry clay & red soil,Warm Tropical Semi-Evergreen and Moist Deciduous Forest
2025,6.2,1,208.8,September,Namchi,Monsoon,>45,Rockfall / Topple,dry clay & red soil,Warm Tropical Semi-Evergreen and Moist Deciduous Forest
2025,16.5,0,188.0,April,Pakyong,Pre Mosoon,0-15,Soil creep / Surface wash,red loamy soil,Vibrant Sub-tropical Broad-leaved Hill Forest
2025,26.1,0,188.0,April,Pakyong,Pre Mosoon,15-25,Rotational slump,red loamy soil,Vibrant Sub-tropical Broad-leaved Hill Forest
2025,32.4,1,188.0,April,Pakyong,Pre Mosoon,25-35,Planar slide / Wedge failure,red loamy soil,Vibrant Sub-tropical Broad-leaved Hill Forest
2025,19.8,2,188.0,April,Pakyong,Pre Mosoon,35-45,Debris flow / Translational slide,red loamy soil,Vibrant Sub-tropical Broad-leaved Hill Forest
2025,5.2,0,188.0,April,Pakyong,Pre Mosoon,>45,Rockfall / Topple,red loamy soil,Vibrant Sub-tropical Broad-leaved Hill Forest
2025,16.5,1,400.0,August,Pakyong,Monsoon,0-15,Soil creep / Surface wash,red loamy soil,Overgrown Sub-tropical Broad-leaved Hill Forest
2025,26.1,2,400.0,August,Pakyong,Monsoon,15-25,Rotational slump,red loamy soil,Overgrown Sub-tropical Broad-leaved Hill Forest
2025,32.4,4,400.0,August,Pakyong,Monsoon,25-35,Planar slide / Wedge failure,red loamy soil,Overgrown Sub-tropical Broad-leaved Hill Forest
2025,19.8,7,400.0,August,Pakyong,Monsoon,35-45,Debris flow / Translational slide,red loamy soil,Overgrown Sub-tropical Broad-leaved Hill Forest
2025,5.2,2,400.0,August,Pakyong,Monsoon,>45,Rockfall / Topple,red loamy soil,Overgrown Sub-tropical Broad-leaved Hill Forest
2025,16.5,0,3.0,December,Pakyong,Winter,0-15,Soil creep / Surface wash,red loamy soil,Cold Sub-tropical Broad-leaved Hill Forest
2025,26.1,0,3.0,December,Pakyong,Winter,15-25,Rotational slump,red loamy soil,Cold Sub-tropical Broad-leaved Hill Forest
2025,32.4,0,3.0,December,Pakyong,Winter,25-35,Planar slide / Wedge failure,red loamy soil,Cold Sub-tropical Broad-leaved Hill Forest
2025,19.8,0,3.0,December,Pakyong,Winter,35-45,Debris flow / Translational slide,red loamy soil,Cold Sub-tropical Broad-leaved Hill Forest
2025,5.2,0,3.0,December,Pakyong,Winter,>45,Rockfall / Topple,red loamy soil,Cold Sub-tropical Broad-leaved Hill Forest
2025,16.5,0,47.0,February,Pakyong,Winter,0-15,Soil creep / Surface wash,red loamy soil,Crisp Sub-tropical Broad-leaved Hill Forest
2025,26.1,0,47.0,February,Pakyong,Winter,15-25,Rotational slump,red loamy soil,Crisp Sub-tropical Broad-leaved Hill Forest
2025,32.4,0,47.0,February,Pakyong,Winter,25-35,Planar slide / Wedge failure,red loamy soil,Crisp Sub-tropical Broad-leaved Hill Forest
2025,19.8,0,47.0,February,Pakyong,Winter,35-45,Debris flow / Translational slide,red loamy soil,Crisp Sub-tropical Broad-leaved Hill Forest
2025,5.2,0,47.0,February,Pakyong,Winter,>45,Rockfall / Topple,red loamy soil,Crisp Sub-tropical Broad-leaved Hill Forest
2025,16.5,0,19.0,January,Pakyong,Winter,0-15,Soil creep / Surface wash,red loamy soil,Chilly Sub-tropical Broad-leaved Hill Forest
2025,26.1,0,19.0,January,Pakyong,Winter,15-25,Rotational slump,red loamy soil,Chilly Sub-tropical Broad-leaved Hill Forest
2025,32.4,0,19.0,January,Pakyong,Winter,25-35,Planar slide / Wedge failure,red loamy soil,Chilly Sub-tropical Broad-leaved Hill Forest
2025,19.8,0,19.0,January,Pakyong,Winter,35-45,Debris flow / Translational slide,red loamy soil,Chilly Sub-tropical Broad-leaved Hill Forest
2025,5.2,0,19.0,January,Pakyong,Winter,>45,Rockfall / Topple,red loamy soil,Chilly Sub-tropical Broad-leaved Hill Forest
2025,16.5,1,470.0,July,Pakyong,Monsoon,0-15,Soil creep / Surface wash,red loamy soil,Super-humid Sub-tropical Broad-leaved Hill Forest
2025,26.1,3,470.0,July,Pakyong,Monsoon,15-25,Rotational slump,red loamy soil,Super-humid Sub-tropical Broad-leaved Hill Forest
2025,32.4,7,470.0,July,Pakyong,Monsoon,25-35,Planar slide / Wedge failure,red loamy soil,Super-humid Sub-tropical Broad-leaved Hill Forest
2025,19.8,11,470.0,July,Pakyong,Monsoon,35-45,Debris flow / Translational slide,red loamy soil,Super-humid Sub-tropical Broad-leaved Hill Forest
2025,5.2,3,470.0,July,Pakyong,Monsoon,>45,Rockfall / Topple,red loamy soil,Super-humid Sub-tropical Broad-leaved Hill Forest
2025,16.5,1,400.0,June,Pakyong,Monsoon,0-15,Soil creep / Surface wash,red loamy soil,"Dense, highly humid Sub-tropical Broad-leaved Hill Forest"
2025,26.1,2,400.0,June,Pakyong,Monsoon,15-25,Rotational slump,red loamy soil,"Dense, highly humid Sub-tropical Broad-leaved Hill Forest"
2025,32.4,6,400.0,June,Pakyong,Monsoon,25-35,Planar slide / Wedge failure,red loamy soil,"Dense, highly humid Sub-tropical Broad-leaved Hill Forest"
2025,19.8,9,400.0,June,Pakyong,Monsoon,35-45,Debris flow / Translational slide,red loamy soil,"Dense, highly humid Sub-tropical Broad-leaved Hill Forest"
2025,5.2,2,400.0,June,Pakyong,Monsoon,>45,Rockfall / Topple,red loamy soil,"Dense, highly humid Sub-tropical Broad-leaved Hill Forest"
2025,16.5,0,94.0,March,Pakyong,Pre Mosoon,0-15,Soil creep / Surface wash,red loamy soil,Vibrant Sub-tropical Broad-leaved Hill Forest
2025,26.1,0,94.0,March,Pakyong,Pre Mosoon,15-25,Rotational slump,red loamy soil,Vibrant Sub-tropical Broad-leaved Hill Forest
2025,32.4,1,94.0,March,Pakyong,Pre Mosoon,25-35,Planar slide / Wedge failure,red loamy soil,Vibrant Sub-tropical Broad-leaved Hill Forest
2025,19.8,1,94.0,March,Pakyong,Pre Mosoon,35-45,Debris flow / Translational slide,red loamy soil,Vibrant Sub-tropical Broad-leaved Hill Forest
2025,5.2,0,94.0,March,Pakyong,Pre Mosoon,>45,Rockfall / Topple,red loamy soil,Vibrant Sub-tropical Broad-leaved Hill Forest
2025,16.5,0,329.0,May,Pakyong,Pre Mosoon,0-15,Soil creep / Surface wash,red loamy soil,Steaming Sub-tropical Broad-leaved Hill Fores
2025,26.1,1,329.0,May,Pakyong,Pre Mosoon,15-25,Rotational slump,red loamy soil,Steaming Sub-tropical Broad-leaved Hill Fores
2025,32.4,2,329.0,May,Pakyong,Pre Mosoon,25-35,Planar slide / Wedge failure,red loamy soil,Steaming Sub-tropical Broad-leaved Hill Fores
2025,19.8,3,329.0,May,Pakyong,Pre Mosoon,35-45,Debris flow / Translational slide,red loamy soil,Steaming Sub-tropical Broad-leaved Hill Fores
2025,5.2,1,329.0,May,Pakyong,Pre Mosoon,>45,Rockfall / Topple,red loamy soil,Steaming Sub-tropical Broad-leaved Hill Fores
2025,16.5,0,12.0,November,Pakyong,Post Monsoon,0-15,Soil creep / Surface wash,red loamy soil,Cooling Sub-tropical Broad-leaved Hill Forest
2025,26.1,0,12.0,November,Pakyong,Post Monsoon,15-25,Rotational slump,red loamy soil,Cooling Sub-tropical Broad-leaved Hill Forest
2025,32.4,0,12.0,November,Pakyong,Post Monsoon,25-35,Planar slide / Wedge failure,red loamy soil,Cooling Sub-tropical Broad-leaved Hill Forest
2025,19.8,0,12.0,November,Pakyong,Post Monsoon,35-45,Debris flow / Translational slide,red loamy soil,Cooling Sub-tropical Broad-leaved Hill Forest
2025,5.2,0,12.0,November,Pakyong,Post Monsoon,>45,Rockfall / Topple,red loamy soil,Cooling Sub-tropical Broad-leaved Hill Forest
2025,16.5,0,82.0,October,Pakyong,Post Monsoon,0-15,Soil creep / Surface wash,red loamy soil,Drying Sub-tropical Broad-leaved Hill Forest
2025,26.1,0,82.0,October,Pakyong,Post Monsoon,15-25,Rotational slump,red loamy soil,Drying Sub-tropical Broad-leaved Hill Forest
2025,32.4,0,82.0,October,Pakyong,Post Monsoon,25-35,Planar slide / Wedge failure,red loamy soil,Drying Sub-tropical Broad-leaved Hill Forest
2025,19.8,1,82.0,October,Pakyong,Post Monsoon,35-45,Debris flow / Translational slide,red loamy soil,Drying Sub-tropical Broad-leaved Hill Forest
2025,5.2,0,82.0,October,Pakyong,Post Monsoon,>45,Rockfall / Topple,red loamy soil,Drying Sub-tropical Broad-leaved Hill Forest
2025,16.5,0,306.0,September,Pakyong,Monsoon,0-15,Soil creep / Surface wash,red loamy soil,umid Sub-tropical Broad-leaved Hill Forest
2025,26.1,1,306.0,September,Pakyong,Monsoon,15-25,Rotational slump,red loamy soil,umid Sub-tropical Broad-leaved Hill Forest
2025,32.4,2,306.0,September,Pakyong,Monsoon,25-35,Planar slide / Wedge failure,red loamy soil,umid Sub-tropical Broad-leaved Hill Forest
2025,19.8,5,306.0,September,Pakyong,Monsoon,35-45,Debris flow / Translational slide,red loamy soil,umid Sub-tropical Broad-leaved Hill Forest
2025,5.2,1,306.0,September,Pakyong,Monsoon,>45,Rockfall / Topple,red loamy soil,umid Sub-tropical Broad-leaved Hill Forest
2025,19.2,0,135.0,April,Soreng,Pre Mosoon,0-15,Soil creep / Surface wash,brown forest & laterite soil,Fresh Sub-tropical Foothill Forest
2025,29.4,0,135.0,April,Soreng,Pre Mosoon,15-25,Rotational slump,brown forest & laterite soil,Fresh Sub-tropical Foothill Forest
2025,29.8,1,135.0,April,Soreng,Pre Mosoon,25-35,Planar slide / Wedge failure,brown forest & laterite soil,Fresh Sub-tropical Foothill Forest
2025,16.5,1,135.0,April,Soreng,Pre Mosoon,35-45,Debris flow / Translational slide,brown forest & laterite soil,Fresh Sub-tropical Foothill Forest
2025,5.1,0,135.0,April,Soreng,Pre Mosoon,>45,Rockfall / Topple,brown forest & laterite soil,Fresh Sub-tropical Foothill Forest
2025,19.2,0,287.0,August,Soreng,Monsoon,0-15,Soil creep / Surface wash,brown forest & laterite soil,Dense Sub-tropical Foothill Forest
2025,29.4,1,287.0,August,Soreng,Monsoon,15-25,Rotational slump,brown forest & laterite soil,Dense Sub-tropical Foothill Forest
2025,29.8,3,287.0,August,Soreng,Monsoon,25-35,Planar slide / Wedge failure,brown forest & laterite soil,Dense Sub-tropical Foothill Forest
2025,16.5,5,287.0,August,Soreng,Monsoon,35-45,Debris flow / Translational slide,brown forest & laterite soil,Dense Sub-tropical Foothill Forest
2025,5.1,1,287.0,August,Soreng,Monsoon,>45,Rockfall / Topple,brown forest & laterite soil,Dense Sub-tropical Foothill Forest
2025,19.2,0,3.0,December,Soreng,Winter,0-15,Soil creep / Surface wash,brown forest & laterite soil,Dry-season Sub-tropical Foothill Forest
2025,29.4,0,3.0,December,Soreng,Winter,15-25,Rotational slump,brown forest & laterite soil,Dry-season Sub-tropical Foothill Forest
2025,29.8,0,3.0,December,Soreng,Winter,25-35,Planar slide / Wedge failure,brown forest & laterite soil,Dry-season Sub-tropical Foothill Forest
2025,16.5,0,3.0,December,Soreng,Winter,35-45,Debris flow / Translational slide,brown forest & laterite soil,Dry-season Sub-tropical Foothill Forest
2025,5.1,0,3.0,December,Soreng,Winter,>45,Rockfall / Topple,brown forest & laterite soil,Dry-season Sub-tropical Foothill Forest
2025,19.2,0,34.0,February,Soreng,Winter,0-15,Soil creep / Surface wash,brown forest & laterite soil,Dry-season Sub-tropical Foothill Forest
2025,29.4,0,34.0,February,Soreng,Winter,15-25,Rotational slump,brown forest & laterite soil,Dry-season Sub-tropical Foothill Forest
2025,29.8,0,34.0,February,Soreng,Winter,25-35,Planar slide / Wedge failure,brown forest & laterite soil,Dry-season Sub-tropical Foothill Forest
2025,16.5,0,34.0,February,Soreng,Winter,35-45,Debris flow / Translational slide,brown forest & laterite soil,Dry-season Sub-tropical Foothill Forest
2025,5.1,0,34.0,February,Soreng,Winter,>45,Rockfall / Topple,brown forest & laterite soil,Dry-season Sub-tropical Foothill Forest
2025,19.2,0,14.0,January,Soreng,Winter,0-15,Soil creep / Surface wash,brown forest & laterite soil,Dry-season Sub-tropical Foothill Forest
2025,29.4,0,14.0,January,Soreng,Winter,15-25,Rotational slump,brown forest & laterite soil,Dry-season Sub-tropical Foothill Forest
2025,29.8,0,14.0,January,Soreng,Winter,25-35,Planar slide / Wedge failure,brown forest & laterite soil,Dry-season Sub-tropical Foothill Forest
2025,16.5,0,14.0,January,Soreng,Winter,35-45,Debris flow / Translational slide,brown forest & laterite soil,Dry-season Sub-tropical Foothill Forest
2025,5.1,0,14.0,January,Soreng,Winter,>45,Rockfall / Topple,brown forest & laterite soil,Dry-season Sub-tropical Foothill Forest
2025,19.2,1,338.0,July,Soreng,Monsoon,0-15,Soil creep / Surface wash,brown forest & laterite soil,Thick Sub-tropical Foothill Forest
2025,29.4,2,338.0,July,Soreng,Monsoon,15-25,Rotational slump,brown forest & laterite soil,Thick Sub-tropical Foothill Forest
2025,29.8,5,338.0,July,Soreng,Monsoon,25-35,Planar slide / Wedge failure,brown forest & laterite soil,Thick Sub-tropical Foothill Forest
2025,16.5,7,338.0,July,Soreng,Monsoon,35-45,Debris flow / Translational slide,brown forest & laterite soil,Thick Sub-tropical Foothill Forest
2025,5.1,2,338.0,July,Soreng,Monsoon,>45,Rockfall / Topple,brown forest & laterite soil,Thick Sub-tropical Foothill Forest
2025,19.2,1,287.0,June,Soreng,Monsoon,0-15,Soil creep / Surface wash,brown forest & laterite soil,Lush Sub-tropical Foothill Forest
2025,29.4,2,287.0,June,Soreng,Monsoon,15-25,Rotational slump,brown forest & laterite soil,Lush Sub-tropical Foothill Forest
2025,29.8,4,287.0,June,Soreng,Monsoon,25-35,Planar slide / Wedge failure,brown forest & laterite soil,Lush Sub-tropical Foothill Forest
2025,16.5,6,287.0,June,Soreng,Monsoon,35-45,Debris flow / Translational slide,brown forest & laterite soil,Lush Sub-tropical Foothill Forest
2025,5.1,1,287.0,June,Soreng,Monsoon,>45,Rockfall / Topple,brown forest & laterite soil,Lush Sub-tropical Foothill Forest
2025,19.2,0,68.0,March,Soreng,Pre Mosoon,0-15,Soil creep / Surface wash,brown forest & laterite soil,Fresh Sub-tropical Foothill Forest
2025,29.4,0,68.0,March,Soreng,Pre Mosoon,15-25,Rotational slump,brown forest & laterite soil,Fresh Sub-tropical Foothill Forest
2025,29.8,0,68.0,March,Soreng,Pre Mosoon,25-35,Planar slide / Wedge failure,brown forest & laterite soil,Fresh Sub-tropical Foothill Forest
2025,16.5,1,68.0,March,Soreng,Pre Mosoon,35-45,Debris flow / Translational slide,brown forest & laterite soil,Fresh Sub-tropical Foothill Forest
2025,5.1,0,68.0,March,Soreng,Pre Mosoon,>45,Rockfall / Topple,brown forest & laterite soil,Fresh Sub-tropical Foothill Forest
2025,19.2,0,237.0,May,Soreng,Pre Mosoon,0-15,Soil creep / Surface wash,brown forest & laterite soil,Thick Sub-tropical Foothill Forest
2025,29.4,1,237.0,May,Soreng,Pre Mosoon,15-25,Rotational slump,brown forest & laterite soil,Thick Sub-tropical Foothill Forest
2025,29.8,2,237.0,May,Soreng,Pre Mosoon,25-35,Planar slide / Wedge failure,brown forest & laterite soil,Thick Sub-tropical Foothill Forest
2025,16.5,3,237.0,May,Soreng,Pre Mosoon,35-45,Debris flow / Translational slide,brown forest & laterite soil,Thick Sub-tropical Foothill Forest
2025,5.1,1,237.0,May,Soreng,Pre Mosoon,>45,Rockfall / Topple,brown forest & laterite soil,Thick Sub-tropical Foothill Forest
2025,19.2,0,8.0,November,Soreng,Post Monsoon,0-15,Soil creep / Surface wash,brown forest & laterite soil,Dry-season Sub-tropical Foothill Forest
2025,29.4,0,8.0,November,Soreng,Post Monsoon,15-25,Rotational slump,brown forest & laterite soil,Dry-season Sub-tropical Foothill Forest
2025,29.8,0,8.0,November,Soreng,Post Monsoon,25-35,Planar slide / Wedge failure,brown forest & laterite soil,Dry-season Sub-tropical Foothill Forest
2025,16.5,0,8.0,November,Soreng,Post Monsoon,35-45,Debris flow / Translational slide,brown forest & laterite soil,Dry-season Sub-tropical Foothill Forest
2025,5.1,0,8.0,November,Soreng,Post Monsoon,>45,Rockfall / Topple,brown forest & laterite soil,Dry-season Sub-tropical Foothill Forest
2025,19.2,0,59.0,October,Soreng,Post Monsoon,0-15,Soil creep / Surface wash,brown forest & laterite soil,Cooling Sub-tropical Foothill Forest
2025,29.4,0,59.0,October,Soreng,Post Monsoon,15-25,Rotational slump,brown forest & laterite soil,Cooling Sub-tropical Foothill Forest
2025,29.8,0,59.0,October,Soreng,Post Monsoon,25-35,Planar slide / Wedge failure,brown forest & laterite soil,Cooling Sub-tropical Foothill Forest
2025,16.5,0,59.0,October,Soreng,Post Monsoon,35-45,Debris flow / Translational slide,brown forest & laterite soil,Cooling Sub-tropical Foothill Forest
2025,5.1,0,59.0,October,Soreng,Post Monsoon,>45,Rockfall / Topple,brown forest & laterite soil,Cooling Sub-tropical Foothill Forest
2025,19.2,0,220.0,September,Soreng,Monsoon,0-15,Soil creep / Surface wash,brown forest & laterite soil,Stable Sub-tropical Foothill Forest
2025,29.4,1,220.0,September,Soreng,Monsoon,15-25,Rotational slump,brown forest & laterite soil,Stable Sub-tropical Foothill Forest
2025,29.8,2,220.0,September,Soreng,Monsoon,25-35,Planar slide / Wedge failure,brown forest & laterite soil,Stable Sub-tropical Foothill Forest
2025,16.5,3,220.0,September,Soreng,Monsoon,35-45,Debris flow / Translational slide,brown forest & laterite soil,Stable Sub-tropical Foothill Forest
2025,5.1,1,220.0,September,Soreng,Monsoon,>45,Rockfall / Topple,brown forest & laterite soil,Stable Sub-tropical Foothill Forest
